"1","Aguascalientes","agu"
"2","Baja California","bcn"
"3","Baja California Sur","bcs"
"4","Campeche","cam"
"5","Coahuila de Zaragoza","coa"
"6","Colima","col"
"7","Chiapas","chp"
"8","Chihuahua","chh"
"9","Distrito Federal","dif"
"10","Durango","dur"
"11","Guanajuato","gua"
"12","Guerrero","gro"
"13","Hidalgo","hid"
"14","Jalisco","jal"
"15","México","mex"
"16","Michoacán de Ocampo","mic"
"17","Morelos","mor"
"18","Nayarit","nay"
"19","Nuevo León","nle"
"20","Oaxaca","oax"
"21","Puebla","pue"
"22","Querétaro","que"
"23","Quintana Roo","roo"
"24","San Luis Potosí","slp"
"25","Sinaloa","sin"
"26","Sonora","son"
"27","Tabasco","tab"
"28","Tamaulipas","tam"
"29","Tlaxcala","tla"
"30","Veracruz de Ignacio de la Llave","ver"
"31","Yucatán","yuc"
"32","Zacatecas","zac"
